nohup: ignoring input
Model Params: 30.03M
Trainable Params: 30.025M
Model Params: 30.03M
Trainable Params: 30.025M
Epoch:[1/1](32/500), Reward: 0.3436, Fmt: 1.00, Correct: 0.00, KL_ref: -0.0013, Adv Std: 0.9246, Actor Loss: 0.0000, Avg Len: 176, LR: 0.00000099
Epoch:[1/1](33/500), Reward: 0.4229, Fmt: 1.00, Correct: 0.00, KL_ref: -0.0136, Adv Std: 0.9230, Actor Loss: 0.0011, Avg Len: 114, LR: 0.00000099
Epoch:[1/1](34/500), Reward: 0.4095, Fmt: 1.00, Correct: 0.00, KL_ref: -0.0040, Adv Std: 0.9249, Actor Loss: 0.0001, Avg Len: 91, LR: 0.00000099
Epoch:[1/1](35/500), Reward: 0.2980, Fmt: 1.00, Correct: 0.00, KL_ref: -0.0001, Adv Std: 0.6540, Actor Loss: 0.0000, Avg Len: 208, LR: 0.00000099
Epoch:[1/1](36/500), Reward: 0.3395, Fmt: 1.00, Correct: 0.00, KL_ref: -0.0013, Adv Std: 0.9246, Actor Loss: 0.0001, Avg Len: 131, LR: 0.00000099
Epoch:[1/1](37/500), Reward: 0.2871, Fmt: 1.00, Correct: 0.00, KL_ref: -0.0014, Adv Std: 0.9231, Actor Loss: 0.0000, Avg Len: 198, LR: 0.00000099
Epoch:[1/1](38/500), Reward: 0.6410, Fmt: 1.00, Correct: 0.12, KL_ref: -0.0011, Adv Std: 0.9254, Actor Loss: 0.0001, Avg Len: 121, LR: 0.00000099
Epoch:[1/1](39/500), Reward: 0.3569, Fmt: 1.00, Correct: 0.00, KL_ref: -0.0049, Adv Std: 0.9249, Actor Loss: 0.0001, Avg Len: 165, LR: 0.00000099
Epoch:[1/1](40/500), Reward: 0.4246, Fmt: 1.00, Correct: 0.00, KL_ref: -0.0044, Adv Std: 0.9243, Actor Loss: 0.0000, Avg Len: 80, LR: 0.00000099
Epoch:[1/1](41/500), Reward: 0.3668, Fmt: 1.00, Correct: 0.00, KL_ref: -0.0019, Adv Std: 0.9247, Actor Loss: 0.0000, Avg Len: 172, LR: 0.00000099
